"","Practice","Pres_Count_Allergies","Pres_Count_Asthma","Pres_Count_Diabetes"
"1","A81001",57,26,55
"2","A81002",105,41,84
"3","A81003",38,20,48
"4","A81004",60,22,68
"5","A81005",50,26,62
"6","A81006",68,28,76
"7","A81007",59,33,76
"8","A81008",23,20,50
"9","A81009",77,20,70
"10","A81011",64,28,72
"11","A81012",60,25,64
"12","A81013",41,30,68
"13","A81014",49,20,53
"14","A81015",33,23,47
"15","A81016",67,32,78
"16","A81017",92,41,98
"17","A81018",82,33,82
"18","A81019",74,33,79
"19","A81020",54,24,63
"20","A81021",81,38,93
"21","A81022",61,31,62
"22","A81023",63,33,57
"23","A81025",34,23,51
"24","A81026",88,34,73
"25","A81027",99,23,77
"26","A81029",58,21,58
"27","A81030",97,30,76
"28","A81031",58,28,61
"29","A81032",96,30,70
"30","A81033",23,20,60
"31","A81034",96,32,98
"32","A81035",73,33,72
"33","A81036",82,29,81
"34","A81037",70,30,67
"35","A81038",37,22,44
"36","A81039",50,17,62
"37","A81040",57,28,67
"38","A81041",55,31,56
"39","A81042",59,27,74
"40","A81043",58,40,77
"41","A81044",57,32,72
"42","A81045",56,29,64
"43","A81046",62,33,70
"44","A81047",42,18,66
"45","A81048",67,24,54
"46","A81049",45,30,70
"47","A81051",79,16,59
"48","A81052",65,33,68
"49","A81053",64,29,65
"50","A81054",47,28,61
"51","A81056",17,11,31
"52","A81057",58,30,66
"53","A81058",71,29,64
"54","A81060",34,23,45
"55","A81063",31,22,64
"56","A81064",37,21,57
"57","A81065",31,21,42
"58","A81066",35,19,50
"59","A81067",70,31,68
"60","A81070",27,13,38
"61","A81602",22,20,42
"62","A81605",0,3,2
"63","A81608",27,21,54
"64","A81609",18,18,36
"65","A81610",67,27,61
"66","A81611",43,22,52
"67","A81612",28,13,41
"68","A81613",23,18,42
"69","A81618",61,27,60
"70","A81621",25,21,46
"71","A81622",32,21,46
"72","A81623",16,5,14
"73","A81629",38,19,55
"74","A81630",18,8,13
"75","A81631",36,22,37
"76","A81632",5,9,6
"77","A81633",8,1,8
"78","A81634",11,8,16
"79","A82003",49,29,64
"80","A82004",19,23,30
"81","A82005",30,17,43
"82","A82006",23,20,43
"83","A82007",48,35,65
"84","A82008",43,35,63
"85","A82009",56,27,70
"86","A82010",57,33,47
"87","A82012",56,28,65
"88","A82013",33,20,60
"89","A82014",18,26,39
"90","A82015",33,30,52
"91","A82016",80,34,69
"92","A82017",53,38,73
"93","A82018",48,27,77
"94","A82019",31,33,59
"95","A82020",86,40,81
"96","A82021",45,30,65
"97","A82022",34,20,42
"98","A82023",17,21,44
"99","A82024",26,26,49
"100","A82025",38,22,67
"101","A82026",55,33,77
"102","A82027",53,28,63
"103","A82028",35,24,56
"104","A82029",21,12,35
"105","A82030",52,23,52
"106","A82031",23,20,44
"107","A82032",58,47,76
"108","A82033",53,31,57
"109","A82034",35,20,65
"110","A82035",40,32,68
"111","A82036",40,28,74
"112","A82037",26,25,45
"113","A82038",22,18,47
"114","A82039",47,19,54
"115","A82040",35,22,45
"116","A82041",54,42,59
"117","A82044",83,48,86
"118","A82045",34,34,57
"119","A82046",38,21,46
"120","A82047",54,44,55
"121","A82048",46,32,54
"122","A82049",37,30,45
"123","A82050",51,43,67
"124","A82052",31,30,53
"125","A82053",40,20,50
"126","A82055",29,33,54
"127","A82057",35,24,56
"128","A82058",29,31,46
"129","A82060",14,16,26
"130","A82062",27,21,45
"131","A82063",14,21,23
"132","A82064",32,29,42
"133","A82065",21,17,42
"134","A82068",35,22,44
"135","A82070",36,23,58
"136","A82071",28,20,53
"137","A82072",30,27,52
"138","A82074",23,11,37
"139","A82075",46,36,37
"140","A82077",28,28,41
"141","A82608",16,16,41
"142","A82613",10,8,20
"143","A82617",10,11,36
"144","A82620",11,6,26
"145","A82621",16,17,27
"146","A82623",18,27,43
"147","A82629",34,21,38
"148","A82631",20,17,35
"149","A82642",8,10,17
"150","A82646",21,25,51
"151","A82647",19,16,30
"152","A82650",25,19,40
"153","A82651",15,21,36
"154","A82654",35,38,53
"155","A83001",74,29,61
"156","A83003",89,39,74
"157","A83004",36,19,57
"158","A83005",102,43,81
"159","A83006",58,18,57
"160","A83007",100,32,70
"161","A83008",56,37,53
"162","A83009",56,22,60
"163","A83010",121,37,82
"164","A83011",78,21,63
"165","A83012",89,43,87
"166","A83013",75,30,68
"167","A83014",92,26,56
"168","A83015",93,30,77
"169","A83016",100,38,81
"170","A83017",65,40,83
"171","A83018",89,41,87
"172","A83019",37,29,68
